Days,Inverted,PerfMean,PerfStd,EntryLoad,ExitLoad,EntryDemand,ExitDemand,Distance,ContainerQuantity,Entry,Exit,Stage
15,0.0,30.0,18.371173070873837,0,0,0,0,0.0,2,2020-12-09,2020-12-24,0
0,0.0,0.0,0.0,0,0,0,0,9.7,2,2020-12-24,2020-12-24,1
5,0.0,5.0,0.0,0,0,0,0,0.0,2,2020-12-24,2020-12-29,2
0,0.0,7.0,10.024968827881711,0,0,0,0,9.42,2,2020-12-29,2020-12-29,3
1,0.0,1.0,0.0,0,0,0,0,0.0,2,2020-12-29,2020-12-30,4
11,0.0,10.625,0.9921567416492215,0,2,0,2,6698.14,2,2020-12-30,2021-01-10,5
2,0.0,2.0,0.0,2,2,2,2,0.0,2,2021-01-10,2021-01-12,6
0,0.0,0.0,0.0,2,2,2,2,15.06,2,2021-01-12,2021-01-12,7
15,0.0,15.0,0.0,2,2,2,2,0.0,2,2021-01-12,2021-01-27,8
0,1.0,0.0,0.0,2,2,2,2,15.06,2,2021-01-27,2021-01-27,7
2,1.0,2.0,0.0,2,2,2,2,0.0,2,2021-01-27,2021-01-29,6
14,1.0,13.0625,0.7473912964438374,2,0,2,0,6698.14,2,2021-01-29,2021-02-12,5
1,1.0,1.0,0.0,0,0,0,0,0.0,2,2021-02-12,2021-02-13,4
0,1.0,0.0,0.0,0,0,0,0,9.42,1,2021-02-13,2021-02-13,3
5,1.0,5.125,0.4841229182759271,0,0,0,0,0.0,1,2021-02-13,2021-02-18,2
209,1.0,114.46428571428571,108.07123383043543,0,1,0,0,9.7,1,2021-02-18,2021-09-15,1
15,0.0,30.0,18.371173070873837,0,2,0,4,0.0,4,2021-07-20,2021-08-04,0
0,0.0,0.0,0.0,2,2,4,4,9.7,4,2021-08-04,2021-08-04,1
5,0.0,5.0,0.0,2,2,4,4,0.0,4,2021-08-04,2021-08-09,2
0,0.0,7.0,10.024968827881711,2,2,4,4,9.42,4,2021-08-09,2021-08-09,3
1,0.0,1.0,0.0,2,2,4,4,0.0,4,2021-08-09,2021-08-10,4
12,0.0,10.625,0.9921567416492215,2,2,4,4,6698.14,4,2021-08-10,2021-08-22,5
2,0.0,2.0,0.0,2,2,4,4,0.0,4,2021-08-22,2021-08-24,6
0,0.0,0.0,0.0,2,2,4,4,15.06,4,2021-08-24,2021-08-24,7
15,0.0,15.0,0.0,2,1,4,0,0.0,4,2021-08-24,2021-09-08,8
0,1.0,0.0,0.0,1,1,0,0,15.06,4,2021-09-08,2021-09-08,7
2,1.0,2.0,0.0,1,1,0,0,0.0,4,2021-09-08,2021-09-10,6
12,1.0,13.0625,0.7473912964438374,1,1,0,0,6698.14,4,2021-09-10,2021-09-22,5
30,0.0,30.0,18.371173070873837,1,1,0,0,0.0,1,2021-09-15,2021-09-30,0
1,1.0,1.0,0.0,1,1,0,0,0.0,4,2021-09-22,2021-09-23,4
0,1.0,0.0,0.0,1,1,0,0,9.42,4,2021-09-23,2021-09-23,3
5,1.0,5.125,0.4841229182759271,1,1,0,0,0.0,4,2021-09-23,2021-09-28,2
233,1.0,114.46428571428571,108.07123383043543,1,1,0,0,9.7,2,2021-09-28,2022-05-19,1
361,1.0,114.46428571428571,108.07123383043543,1,1,0,0,9.7,2,2021-09-28,2022-09-24,1
0,0.0,0.0,0.0,1,1,0,0,9.7,2,2021-09-30,2021-09-30,1
5,0.0,5.0,0.0,1,2,0,2,0.0,2,2021-09-30,2021-10-05,2
0,0.0,7.0,10.024968827881711,2,2,2,2,9.42,2,2021-10-05,2021-10-05,3
1,0.0,1.0,0.0,2,2,2,2,0.0,2,2021-10-05,2021-10-06,4
11,0.0,10.625,0.9921567416492215,2,2,2,2,6698.14,2,2021-10-06,2021-10-17,5
2,0.0,2.0,0.0,2,2,2,2,0.0,2,2021-10-17,2021-10-19,6
0,0.0,0.0,0.0,2,2,2,2,15.06,2,2021-10-19,2021-10-19,7
15,0.0,15.0,0.0,2,1,2,0,0.0,2,2021-10-19,2021-11-03,8
0,1.0,0.0,0.0,1,1,0,0,15.06,2,2021-11-03,2021-11-03,7
2,1.0,2.0,0.0,1,1,0,0,0.0,2,2021-11-03,2021-11-05,6
13,1.0,13.0625,0.7473912964438374,1,1,0,0,6698.14,2,2021-11-05,2021-11-18,5
1,1.0,1.0,0.0,1,1,0,0,0.0,2,2021-11-18,2021-11-19,4
0,1.0,0.0,0.0,1,1,0,0,9.42,2,2021-11-19,2021-11-19,3
5,1.0,5.125,0.4841229182759271,1,1,0,0,0.0,2,2021-11-19,2021-11-24,2
32,1.0,114.46428571428571,108.07123383043543,1,0,0,0,9.7,1,2021-11-24,2021-12-26,1
328,1.0,114.46428571428571,108.07123383043543,1,2,0,4,9.7,1,2021-11-24,2022-10-18,1
0,0.0,0.0,0.0,2,2,2,2,9.7,2,2022-01-10,2022-01-10,1
5,0.0,5.0,0.0,2,2,2,2,0.0,2,2022-01-10,2022-01-15,2
0,0.0,7.0,10.024968827881711,2,2,2,2,9.42,2,2022-01-15,2022-01-15,3
1,0.0,1.0,0.0,2,2,2,2,0.0,2,2022-01-15,2022-01-16,4
10,0.0,10.625,0.9921567416492215,2,2,2,2,6698.14,2,2022-01-16,2022-01-26,5
2,0.0,2.0,0.0,2,2,2,2,0.0,2,2022-01-26,2022-01-28,6
0,0.0,0.0,0.0,2,2,2,2,15.06,2,2022-01-28,2022-01-28,7
15,0.0,15.0,0.0,2,0,2,0,0.0,2,2022-01-28,2022-02-12,8
0,1.0,0.0,0.0,0,0,0,0,15.06,2,2022-02-12,2022-02-12,7
2,1.0,2.0,0.0,0,0,0,0,0.0,2,2022-02-12,2022-02-14,6
13,1.0,13.0625,0.7473912964438374,0,0,0,0,6698.14,2,2022-02-14,2022-02-27,5
1,1.0,1.0,0.0,0,0,0,0,0.0,2,2022-02-27,2022-02-28,4
0,1.0,0.0,0.0,0,0,0,0,9.42,2,2022-02-28,2022-02-28,3
5,1.0,5.125,0.4841229182759271,0,2,0,0,0.0,2,2022-02-28,2022-03-05,2
75,1.0,114.46428571428571,108.07123383043543,2,1,0,0,9.7,1,2022-03-05,2022-05-19,1
203,1.0,114.46428571428571,108.07123383043543,2,1,0,0,9.7,1,2022-03-05,2022-09-24,1
60,0.0,30.0,18.371173070873837,1,0,0,4,0.0,1,2022-05-19,2022-06-03,0
0,0.0,0.0,0.0,0,0,4,4,9.7,4,2022-06-03,2022-06-03,1
5,0.0,5.0,0.0,0,0,4,4,0.0,4,2022-06-03,2022-06-08,2
0,0.0,7.0,10.024968827881711,0,0,4,4,9.42,4,2022-06-08,2022-06-08,3
1,0.0,1.0,0.0,0,0,4,4,0.0,4,2022-06-08,2022-06-09,4
10,0.0,10.625,0.9921567416492215,0,0,4,4,6698.14,4,2022-06-09,2022-06-19,5
2,0.0,2.0,0.0,0,0,4,4,0.0,4,2022-06-19,2022-06-21,6
0,0.0,0.0,0.0,0,0,4,4,15.06,4,2022-06-21,2022-06-21,7
15,0.0,15.0,0.0,0,0,4,0,0.0,4,2022-06-21,2022-07-06,8
0,1.0,0.0,0.0,0,0,0,0,15.06,4,2022-07-06,2022-07-06,7
2,1.0,2.0,0.0,0,0,0,0,0.0,4,2022-07-06,2022-07-08,6
14,1.0,13.0625,0.7473912964438374,0,0,0,0,6698.14,4,2022-07-08,2022-07-22,5
1,1.0,1.0,0.0,0,0,0,0,0.0,4,2022-07-22,2022-07-23,4
0,1.0,0.0,0.0,0,0,0,0,9.42,4,2022-07-23,2022-07-23,3
5,1.0,5.125,0.4841229182759271,0,0,0,0,0.0,4,2022-07-23,2022-07-28,2
58,1.0,114.46428571428571,108.07123383043543,0,1,0,0,9.7,1,2022-07-28,2022-09-24,1
82,1.0,114.46428571428571,108.07123383043543,0,2,0,4,9.7,1,2022-07-28,2022-10-18,1
261,1.0,114.46428571428571,108.07123383043543,0,0,0,0,9.7,1,2022-07-28,2023-04-15,1
308,1.0,114.46428571428571,108.07123383043543,0,0,0,0,9.7,1,2022-07-28,2023-06-01,1
0,0.0,0.0,0.0,2,2,4,4,9.7,4,2022-10-09,2022-10-09,1
5,0.0,5.0,0.0,2,2,4,4,0.0,4,2022-10-09,2022-10-14,2
0,0.0,7.0,10.024968827881711,2,2,4,4,9.42,4,2022-10-14,2022-10-14,3
1,0.0,1.0,0.0,2,2,4,4,0.0,4,2022-10-14,2022-10-15,4
12,0.0,10.625,0.9921567416492215,2,2,4,4,6698.14,4,2022-10-15,2022-10-27,5
2,0.0,2.0,0.0,2,2,4,4,0.0,4,2022-10-27,2022-10-29,6
0,0.0,0.0,0.0,2,2,4,4,15.06,4,2022-10-29,2022-10-29,7
15,0.0,15.0,0.0,2,1,4,2,0.0,4,2022-10-29,2022-11-13,8
0,0.0,0.0,0.0,1,1,2,2,9.7,2,2022-11-02,2022-11-02,1
5,0.0,5.0,0.0,1,1,2,2,0.0,2,2022-11-02,2022-11-07,2
21,0.0,7.0,10.024968827881711,1,1,2,2,9.42,2,2022-11-07,2022-11-28,3
0,1.0,0.0,0.0,1,1,2,2,15.06,4,2022-11-13,2022-11-13,7
2,1.0,2.0,0.0,1,1,2,2,0.0,4,2022-11-13,2022-11-15,6
12,1.0,13.0625,0.7473912964438374,1,1,2,2,6698.14,4,2022-11-15,2022-11-27,5
1,1.0,1.0,0.0,1,1,2,2,0.0,4,2022-11-27,2022-11-28,4
