Days,Inverted,PerfMean,PerfStd,EntryLoad,ExitLoad,EntryDemand,ExitDemand,Distance,ContainerQuantity,Stage,Entry_Working_Day,Exit_Working_Day,Entry_precipitation_sum,Entry_rain_sum,Entry_snowfall_sum,Entry_wind_speed_10m_max,Entry_wind_gusts_10m_max,Entry_wind_direction_10m_dominant,Exit_precipitation_sum,Exit_rain_sum,Exit_snowfall_sum,Exit_wind_speed_10m_max,Exit_wind_gusts_10m_max,Exit_wind_direction_10m_dominant,Season
15.0,0.0,24.0,7.3484692283495345,0.0,0.0,0.0,0.0,0.0,2.0,0,1,1,12.000002,12.000002,0.0,26.980793,63.0,247.3075,0.0,0.0,0.0,21.897945,42.12,343.37125,3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.7,2.0,1,1,1,0.0,0.0,0.0,21.897945,42.12,343.37125,0.0,0.0,0.0,21.897945,42.12,343.37125,3
5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2,1,1,0.0,0.0,0.0,21.897945,42.12,343.37125,3.7,3.7,0.0,19.174856,36.36,242.8069,3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.42,2.0,3,1,1,3.7,3.7,0.0,19.174856,36.36,242.8069,3.7,3.7,0.0,19.174856,36.36,242.8069,3
1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4,1,1,3.7,3.7,0.0,19.174856,36.36,242.8069,17.6,17.6,0.0,21.096123,39.96,251.1156,3
11.0,0.0,10.375,0.5994789404140899,0.0,2.0,0.0,2.0,6698.14,2.0,5,1,0,17.6,17.6,0.0,21.096123,39.96,251.1156,0.0,0.0,0.0,12.144331,24.84,351.42484,3
2.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,6,0,1,0.0,0.0,0.0,12.144331,24.84,351.42484,2.0,2.0,0.0,16.73516,33.12,280.13187,3
0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,15.06,2.0,7,1,1,2.0,2.0,0.0,16.73516,33.12,280.13187,2.0,2.0,0.0,16.73516,33.12,280.13187,3
15.0,0.0,15.9375,3.630921887069453,2.0,2.0,2.0,2.0,0.0,2.0,8,1,1,2.0,2.0,0.0,16.73516,33.12,280.13187,0.6,0.6,0.0,18.416384,38.519997,253.16681,3
0.0,1.0,0.0,0.0,2.0,2.0,2.0,2.0,15.06,2.0,7,1,1,0.6,0.6,0.0,18.416384,38.519997,253.16681,0.6,0.6,0.0,18.416384,38.519997,253.16681,3
2.0,1.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,6,1,1,0.6,0.6,0.0,18.416384,38.519997,253.16681,12.499998,12.499998,0.0,33.55733,71.64,249.14357,3
10.0,1.0,10.5,1.0606601717798212,2.0,0.0,2.0,0.0,6698.14,2.0,5,1,1,12.499998,12.499998,0.0,33.55733,71.64,249.14357,13.400001,13.400001,0.0,20.617662,43.56,186.28355,3
1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4,1,1,13.400001,13.400001,0.0,20.617662,43.56,186.28355,2.1999998,2.1999998,0.0,16.267857,34.2,230.07678,3
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.42,1.0,3,1,1,2.1999998,2.1999998,0.0,16.267857,34.2,230.07678,2.1999998,2.1999998,0.0,16.267857,34.2,230.07678,3
5.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,1,0,2.1999998,2.1999998,0.0,16.267857,34.2,230.07678,0.0,0.0,0.0,19.95972,36.0,140.36986,3
158.0,1.0,119.89285714285714,100.92866621166311,0.0,0.0,0.0,0.0,9.7,1.0,1,0,1,0.0,0.0,0.0,19.95972,36.0,140.36986,0.1,0.1,0.0,18.861387,39.96,260.67508,3
30.0,0.0,24.0,7.3484692283495345,0.0,2.0,0.0,4.0,0.0,2.0,0,1,1,0.1,0.1,0.0,18.861387,39.96,260.67508,2.1,2.1,0.0,27.0024,52.92,252.1926,1
0.0,0.0,0.0,0.0,2.0,2.0,4.0,4.0,9.7,4.0,1,1,1,2.1,2.1,0.0,27.0024,52.92,252.1926,2.1,2.1,0.0,27.0024,52.92,252.1926,1
5.0,0.0,5.0,0.0,2.0,2.0,4.0,4.0,0.0,4.0,2,1,1,2.1,2.1,0.0,27.0024,52.92,252.1926,0.0,0.0,0.0,15.546833,41.760002,291.16125,1
0.0,0.0,0.0,0.0,2.0,2.0,4.0,4.0,9.42,4.0,3,1,1,0.0,0.0,0.0,15.546833,41.760002,291.16125,0.0,0.0,0.0,15.546833,41.760002,291.16125,1
1.0,0.0,1.0,0.0,2.0,2.0,4.0,4.0,0.0,4.0,4,1,1,0.0,0.0,0.0,15.546833,41.760002,291.16125,0.0,0.0,0.0,10.105681,20.519999,328.04193,1
10.0,0.0,10.375,0.5994789404140899,2.0,2.0,4.0,4.0,6698.14,4.0,5,1,0,0.0,0.0,0.0,10.105681,20.519999,328.04193,0.0,0.0,0.0,18.692286,36.0,18.711866,1
2.0,0.0,2.0,0.0,2.0,2.0,4.0,4.0,0.0,4.0,6,0,1,0.0,0.0,0.0,18.692286,36.0,18.711866,0.0,0.0,0.0,12.313894,27.359999,36.141308,1
0.0,0.0,0.0,0.0,2.0,2.0,4.0,4.0,15.06,4.0,7,1,1,0.0,0.0,0.0,12.313894,27.359999,36.141308,0.0,0.0,0.0,12.313894,27.359999,36.141308,1
15.0,0.0,15.9375,3.630921887069453,2.0,1.0,4.0,0.0,0.0,4.0,8,1,1,0.0,0.0,0.0,12.313894,27.359999,36.141308,3.6,3.6,0.0,10.587918,23.759998,249.18939,1
0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,15.06,4.0,7,1,1,3.6,3.6,0.0,10.587918,23.759998,249.18939,3.6,3.6,0.0,10.587918,23.759998,249.18939,2
2.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,6,1,1,3.6,3.6,0.0,10.587918,23.759998,249.18939,0.0,0.0,0.0,11.165805,23.039999,46.292088,2
10.0,1.0,10.5,1.0606601717798212,1.0,1.0,0.0,0.0,6698.14,4.0,5,1,1,0.0,0.0,0.0,11.165805,23.039999,46.292088,0.3,0.3,0.0,13.896187,30.960001,14.538048,2
