Container,Zone,Entry,Exit
SN1,A,2021-09-15,2021-09-30
SN1,B,2021-09-30,2021-10-05
SN1,C,2021-10-05,2021-10-06
SN1,D,2021-10-17,2021-10-19
SN1,E,2021-10-19,2021-11-03
SN1,D,2021-11-03,2021-11-05
SN1,C,2021-11-16,2021-11-17
SN1,B,2021-11-17,2021-11-22
SN1,A,2022-09-26,2022-10-11
SN1,B,2022-10-11,2022-10-16
SN1,C,2022-10-16,2022-10-17
SN1,D,2022-10-27,2022-10-29
SN1,E,2022-10-29,2022-11-13
SN1,D,2022-11-13,2022-11-15
SN1,C,2022-11-26,2022-11-27
SN1,B,2022-11-27,2022-12-02
SN1,A,2023-04-14,2023-04-29
SN1,B,2023-04-29,2023-05-04
SN1,C,2023-05-04,2023-05-05
SN1,D,2023-05-15,2023-05-17
SN1,E,2023-05-17,2023-06-01
SN1,D,2023-06-01,2023-06-03
SN1,C,2023-06-12,2023-06-13
SN1,B,2023-06-13,2023-06-18
SN1,A,2023-07-21,2023-08-05
SN1,B,2023-08-05,2023-08-10
SN1,C,2023-08-10,2023-08-11
SN1,D,2023-08-21,2023-08-23
SN1,E,2023-08-23,2023-09-07
SN1,D,2023-09-07,2023-09-09
SN1,C,2023-09-21,2023-09-22
SN1,B,2023-09-22,2023-09-27
SN1,A,2024-02-19,2024-03-05
SN1,B,2024-03-05,2024-03-10
SN1,C,2024-03-10,2024-03-11
SN1,D,2024-03-21,2024-03-23
SN1,E,2024-03-23,2024-04-07
SN1,D,2024-04-07,2024-04-09
SN1,C,2024-04-19,2024-04-20
SN1,B,2024-04-20,2024-04-25
SN2,A,2021-09-15,2021-09-30
SN2,B,2021-09-30,2021-10-05
SN2,C,2021-10-05,2021-10-06
SN2,D,2021-10-17,2021-10-19
SN2,E,2021-10-19,2021-11-03
SN2,D,2021-11-03,2021-11-05
SN2,C,2021-11-16,2021-11-17
SN2,B,2021-11-17,2021-11-22
SN2,A,2022-05-18,2022-06-02
SN2,B,2022-06-02,2022-06-07
SN2,C,2022-06-07,2022-06-08
SN2,D,2022-06-19,2022-06-21
SN2,E,2022-06-21,2022-07-06
SN2,D,2022-07-06,2022-07-08
SN2,C,2022-07-18,2022-07-19
SN2,B,2022-07-19,2022-07-24
SN2,A,2022-09-26,2022-10-11
SN2,B,2022-10-11,2022-10-16
SN2,C,2022-10-16,2022-10-17
SN2,D,2022-10-27,2022-10-29
SN2,E,2022-10-29,2022-11-13
SN2,D,2022-11-13,2022-11-15
SN2,C,2022-11-26,2022-11-27
SN2,B,2022-11-27,2022-12-02
SN2,A,2023-07-21,2023-08-05
SN2,B,2023-08-05,2023-08-10
SN2,C,2023-08-10,2023-08-11
SN2,D,2023-08-21,2023-08-23
SN2,E,2023-08-23,2023-09-07
SN2,D,2023-09-07,2023-09-09
SN2,C,2023-09-21,2023-09-22
SN2,B,2023-09-22,2023-09-27
SN2,A,2023-11-12,2023-11-27
SN2,B,2023-11-27,2023-12-02
SN2,C,2023-12-02,2023-12-03
SN2,D,2023-12-13,2023-12-15
SN2,E,2023-12-15,2023-12-30
SN2,D,2023-12-30,2024-01-01
SN2,C,2024-01-13,2024-01-14
SN2,B,2024-01-14,2024-01-19
SN3,A,2020-12-09,2020-12-24
SN3,B,2020-12-24,2020-12-29
SN3,C,2020-12-29,2020-12-30
SN3,D,2021-01-10,2021-01-12
SN3,E,2021-01-12,2021-01-27
SN3,D,2021-01-27,2021-01-29
SN3,C,2021-02-08,2021-02-09
SN3,B,2021-02-09,2021-02-14
SN3,A,2021-07-22,2021-08-06
SN3,B,2021-08-06,2021-08-11
SN3,C,2021-08-11,2021-08-12
SN3,D,2021-08-22,2021-08-24
SN3,E,2021-08-24,2021-09-08
SN3,D,2021-09-08,2021-09-10
SN3,C,2021-09-20,2021-09-21
SN3,B,2021-09-21,2021-09-26
SN3,A,2022-09-26,2022-10-11
SN3,B,2022-10-11,2022-10-16
SN3,C,2022-10-16,2022-10-17
SN3,D,2022-10-27,2022-10-29
SN3,E,2022-10-29,2022-11-13
SN3,D,2022-11-13,2022-11-15
SN3,C,2022-11-26,2022-11-27
SN3,B,2022-11-27,2022-12-02
SN3,A,2023-09-24,2023-10-09
SN3,B,2023-10-09,2023-10-14
SN3,C,2023-10-14,2023-10-15
SN3,D,2023-10-26,2023-10-28
SN3,E,2023-10-28,2023-11-12
SN3,D,2023-11-12,2023-11-14
SN3,C,2023-11-24,2023-11-25
SN3,B,2023-11-25,2023-11-30
SN3,A,2023-12-14,2023-12-29
SN3,B,2023-12-29,2024-01-03
SN3,C,2024-01-03,2024-01-04
SN3,D,2024-01-14,2024-01-16
SN3,E,2024-01-16,2024-01-31
SN3,D,2024-01-31,2024-02-02
SN3,C,2024-02-13,2024-02-14
SN3,B,2024-02-14,2024-02-19
SN4,A,2021-12-25,2022-01-09
