Entry,Exit,A,AB,B,BC,C,CD,D,DE,E,Days,Inverted,PerfMean,PerfStd,EntryLoad,ExitLoad,EntryDemand,ExitDemand,Distance
2020-12-09,2020-12-24,2,0,0,0,0,0,0,0,0,15,0,24.0,7.3484692283495345,0,0,0,0,0.0
2020-12-24,2020-12-24,0,2,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,9.7
2020-12-24,2020-12-29,0,0,2,0,0,0,0,0,0,5,0,5.0,0.0,0,0,0,0,0.0
2020-12-29,2020-12-29,0,0,0,2,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,9.42
2020-12-29,2020-12-30,0,0,0,0,2,0,0,0,0,1,0,1.0,0.0,0,0,0,0,0.0
2020-12-30,2021-01-10,0,0,0,0,0,2,0,0,0,11,0,10.375,0.5994789404140899,0,2,0,2,6698.14
2021-01-10,2021-01-12,0,0,0,0,0,0,2,0,0,2,0,2.0,0.0,2,2,2,2,0.0
2021-01-12,2021-01-12,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,2,2,2,2,15.06
2021-01-12,2021-01-27,0,0,0,0,0,0,0,0,2,15,0,15.9375,3.6309218870694533,2,2,2,2,0.0
2021-01-27,2021-01-27,0,0,0,0,0,0,0,2,0,0,1,0.0,0.0,2,2,2,2,15.06
2021-01-27,2021-01-29,0,0,0,0,0,0,2,0,0,2,1,2.0,0.0,2,2,2,2,0.0
2021-01-29,2021-02-08,0,0,0,0,0,2,0,0,0,10,1,10.5,1.0606601717798212,2,0,2,0,6698.14
2021-02-08,2021-02-09,0,0,0,0,2,0,0,0,0,1,1,1.0,0.0,0,0,0,0,0.0
2021-02-09,2021-02-09,0,0,0,1,0,0,0,0,0,0,1,0.0,0.0,0,0,0,0,9.42
2021-02-09,2021-02-14,0,0,1,0,0,0,0,0,0,5,1,5.0,0.0,0,0,0,0,0.0
2021-02-14,2021-07-22,0,1,0,0,0,0,0,0,0,158,1,119.89285714285714,100.92866621166311,0,0,0,0,9.7
2021-07-22,2021-08-06,2,0,0,0,0,0,0,0,0,30,0,24.0,7.3484692283495345,0,2,0,4,0.0
2021-08-06,2021-08-06,0,4,0,0,0,0,0,0,0,0,0,0.0,0.0,2,2,4,4,9.7
2021-08-06,2021-08-11,0,0,4,0,0,0,0,0,0,5,0,5.0,0.0,2,2,4,4,0.0
2021-08-11,2021-08-11,0,0,0,4,0,0,0,0,0,0,0,0.0,0.0,2,2,4,4,9.42
2021-08-11,2021-08-12,0,0,0,0,4,0,0,0,0,1,0,1.0,0.0,2,2,4,4,0.0
2021-08-12,2021-08-22,0,0,0,0,0,4,0,0,0,10,0,10.375,0.5994789404140899,2,2,4,4,6698.14
2021-08-22,2021-08-24,0,0,0,0,0,0,4,0,0,2,0,2.0,0.0,2,2,4,4,0.0
2021-08-24,2021-08-24,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,2,2,4,4,15.06
2021-08-24,2021-09-08,0,0,0,0,0,0,0,0,4,15,0,15.9375,3.6309218870694533,2,1,4,0,0.0
2021-09-08,2021-09-08,0,0,0,0,0,0,0,4,0,0,1,0.0,0.0,1,1,0,0,15.06
2021-09-08,2021-09-10,0,0,0,0,0,0,4,0,0,2,1,2.0,0.0,1,1,0,0,0.0
2021-09-10,2021-09-20,0,0,0,0,0,4,0,0,0,10,1,10.5,1.0606601717798212,1,1,0,0,6698.14
2021-09-15,2021-09-30,2,0,0,0,0,0,0,0,0,15,0,24.0,7.3484692283495345,1,1,0,0,0.0
2021-09-20,2021-09-21,0,0,0,0,4,0,0,0,0,1,1,1.0,0.0,1,1,0,0,0.0
2021-09-21,2021-09-21,0,0,0,4,0,0,0,0,0,0,1,0.0,0.0,1,1,0,0,9.42
2021-09-21,2021-09-26,0,0,4,0,0,0,0,0,0,5,1,5.0,0.0,1,1,0,0,0.0
2021-09-26,2021-12-25,0,1,0,0,0,0,0,0,0,90,1,119.89285714285714,100.92866621166311,1,0,0,0,9.7
2021-09-26,2022-05-18,0,2,0,0,0,0,0,0,0,234,1,119.89285714285714,100.92866621166311,1,1,0,0,9.7
2021-09-26,2022-09-26,0,1,0,0,0,0,0,0,0,365,1,119.89285714285714,100.92866621166311,1,1,0,0,9.7
2021-09-30,2021-09-30,0,2,0,0,0,0,0,0,0,0,0,0.0,0.0,1,1,0,0,9.7
2021-09-30,2021-10-05,0,0,2,0,0,0,0,0,0,5,0,5.0,0.0,1,2,0,2,0.0
2021-10-05,2021-10-05,0,0,0,2,0,0,0,0,0,0,0,0.0,0.0,2,2,2,2,9.42
2021-10-05,2021-10-06,0,0,0,0,2,0,0,0,0,1,0,1.0,0.0,2,2,2,2,0.0
2021-10-06,2021-10-17,0,0,0,0,0,2,0,0,0,11,0,10.375,0.5994789404140899,2,2,2,2,6698.14
2021-10-17,2021-10-19,0,0,0,0,0,0,2,0,0,2,0,2.0,0.0,2,2,2,2,0.0
2021-10-19,2021-10-19,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,2,2,2,2,15.06
2021-10-19,2021-11-03,0,0,0,0,0,0,0,0,2,15,0,15.9375,3.6309218870694533,2,1,2,0,0.0
2021-11-03,2021-11-03,0,0,0,0,0,0,0,2,0,0,1,0.0,0.0,1,1,0,0,15.06
2021-11-03,2021-11-05,0,0,0,0,0,0,2,0,0,2,1,2.0,0.0,1,1,0,0,0.0
2021-11-05,2021-11-16,0,0,0,0,0,2,0,0,0,11,1,10.5,1.0606601717798212,1,1,0,0,6698.14
2021-11-16,2021-11-17,0,0,0,0,2,0,0,0,0,1,1,1.0,0.0,1,1,0,0,0.0
2021-11-17,2021-11-17,0,0,0,2,0,0,0,0,0,0,1,0.0,0.0,1,1,0,0,9.42
2021-11-17,2021-11-22,0,0,2,0,0,0,0,0,0,5,1,5.0,0.0,1,1,0,0,0.0
2021-11-22,2022-05-18,0,1,0,0,0,0,0,0,0,177,1,119.89285714285714,100.92866621166311,1,1,0,0,9.7
2021-11-22,2022-09-26,0,1,0,0,0,0,0,0,0,308,1,119.89285714285714,100.92866621166311,1,1,0,0,9.7
2021-12-25,2022-01-09,1,0,0,0,0,0,0,0,0,30,0,24.0,7.3484692283495345,0,2,0,2,0.0
2022-01-09,2022-01-09,0,2,0,0,0,0,0,0,0,0,0,0.0,0.0,2,2,2,2,9.7
2022-01-09,2022-01-14,0,0,2,0,0,0,0,0,0,5,0,5.0,0.0,2,2,2,2,0.0
2022-01-14,2022-01-14,0,0,0,2,0,0,0,0,0,0,0,0.0,0.0,2,2,2,2,9.42
2022-01-14,2022-01-15,0,0,0,0,2,0,0,0,0,1,0,1.0,0.0,2,2,2,2,0.0
2022-01-15,2022-01-26,0,0,0,0,0,2,0,0,0,11,0,10.375,0.5994789404140899,2,2,2,2,6698.14
2022-01-26,2022-01-28,0,0,0,0,0,0,2,0,0,2,0,2.0,0.0,2,2,2,2,0.0
2022-01-28,2022-01-28,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,2,2,2,2,15.06
2022-01-28,2022-02-12,0,0,0,0,0,0,0,0,2,15,0,15.9375,3.6309218870694533,2,0,2,0,0.0
2022-02-12,2022-02-12,0,0,0,0,0,0,0,2,0,0,1,0.0,0.0,0,0,0,0,15.06
2022-02-12,2022-02-14,0,0,0,0,0,0,2,0,0,2,1,2.0,0.0,0,0,0,0,0.0
2022-02-14,2022-02-23,0,0,0,0,0,2,0,0,0,9,1,10.5,1.0606601717798212,0,0,0,0,6698.14
2022-02-23,2022-02-24,0,0,0,0,2,0,0,0,0,1,1,1.0,0.0,0,0,0,0,0.0
2022-02-24,2022-02-24,0,0,0,2,0,0,0,0,0,0,1,0.0,0.0,0,0,0,0,9.42
2022-02-24,2022-03-01,0,0,2,0,0,0,0,0,0,5,1,5.0,0.0,0,2,0,0,0.0
2022-03-01,2022-05-18,0,1,0,0,0,0,0,0,0,78,1,119.89285714285714,100.92866621166311,2,1,0,0,9.7
2022-03-01,2022-10-19,0,1,0,0,0,0,0,0,0,232,1,119.89285714285714,100.92866621166311,2,2,0,4,9.7
2022-06-02,2022-06-02,0,4,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,4,4,9.7
2022-06-02,2022-06-07,0,0,4,0,0,0,0,0,0,5,0,5.0,0.0,0,0,4,4,0.0
2022-06-07,2022-06-07,0,0,0,4,0,0,0,0,0,0,0,0.0,0.0,0,0,4,4,9.42
2022-06-07,2022-06-08,0,0,0,0,4,0,0,0,0,1,0,1.0,0.0,0,0,4,4,0.0
2022-06-08,2022-06-19,0,0,0,0,0,4,0,0,0,11,0,10.375,0.5994789404140899,0,0,4,4,6698.14
2022-06-19,2022-06-21,0,0,0,0,0,0,4,0,0,2,0,2.0,0.0,0,0,4,4,0.0
2022-06-21,2022-06-21,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0,0,4,4,15.06
2022-06-21,2022-07-06,0,0,0,0,0,0,0,0,4,15,0,15.9375,3.6309218870694533,0,0,4,0,0.0
2022-07-06,2022-07-06,0,0,0,0,0,0,0,4,0,0,1,0.0,0.0,0,0,0,0,15.06
2022-07-06,2022-07-08,0,0,0,0,0,0,4,0,0,2,1,2.0,0.0,0,0,0,0,0.0
2022-07-08,2022-07-18,0,0,0,0,0,4,0,0,0,10,1,10.5,1.0606601717798212,0,0,0,0,6698.14
2022-07-18,2022-07-19,0,0,0,0,4,0,0,0,0,1,1,1.0,0.0,0,0,0,0,0.0
2022-07-19,2022-07-19,0,0,0,4,0,0,0,0,0,0,1,0.0,0.0,0,0,0,0,9.42
2022-07-19,2022-07-24,0,0,4,0,0,0,0,0,0,5,1,5.0,0.0,0,0,0,0,0.0
2022-07-24,2022-09-26,0,2,0,0,0,0,0,0,0,64,1,119.89285714285714,100.92866621166311,0,1,0,0,9.7
2022-07-24,2022-10-19,0,1,0,0,0,0,0,0,0,87,1,119.89285714285714,100.92866621166311,0,2,0,4,9.7
2022-07-24,2023-01-24,0,1,0,0,0,0,0,0,0,184,1,119.89285714285714,100.92866621166311,0,2,0,0,9.7
2022-10-11,2022-10-11,0,4,0,0,0,0,0,0,0,0,0,0.0,0.0,2,2,4,4,9.7
2022-10-11,2022-10-16,0,0,4,0,0,0,0,0,0,5,0,5.0,0.0,2,2,4,4,0.0
2022-10-16,2022-10-16,0,0,0,4,0,0,0,0,0,0,0,0.0,0.0,2,2,4,4,9.42
2022-10-16,2022-10-17,0,0,0,0,4,0,0,0,0,1,0,1.0,0.0,2,2,4,4,0.0
2022-10-17,2022-10-27,0,0,0,0,0,4,0,0,0,10,0,10.375,0.5994789404140899,2,2,4,4,6698.14
2022-10-27,2022-10-29,0,0,0,0,0,0,4,0,0,2,0,2.0,0.0,2,2,4,4,0.0
2022-10-29,2022-10-29,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,2,2,4,4,15.06
2022-10-29,2022-11-13,0,0,0,0,0,0,0,0,4,15,0,15.9375,3.6309218870694533,2,1,4,2,0.0
2022-11-03,2022-11-03,0,2,0,0,0,0,0,0,0,0,0,0.0,0.0,1,1,2,2,9.7
2022-11-03,2022-11-08,0,0,2,0,0,0,0,0,0,5,0,5.0,0.0,1,1,2,2,0.0
2022-11-08,2022-11-08,0,0,0,2,0,0,0,0,0,0,0,0.0,0.0,1,1,2,2,9.42
2022-11-08,2022-11-09,0,0,0,0,2,0,0,0,0,1,0,1.0,0.0,1,1,2,2,0.0
2022-11-09,2022-11-18,0,0,0,0,0,2,0,0,0,9,0,10.375,0.5994789404140899,1,1,2,2,6698.14
2022-11-13,2022-11-13,0,0,0,0,0,0,0,4,0,0,1,0.0,0.0,1,1,2,2,15.06
2022-11-13,2022-11-15,0,0,0,0,0,0,4,0,0,2,1,2.0,0.0,1,1,2,2,0.0
2022-11-15,2022-11-26,0,0,0,0,0,4,0,0,0,11,1,10.5,1.0606601717798212,1,1,2,2,6698.14
2022-11-18,2022-11-20,0,0,0,0,0,0,2,0,0,2,0,2.0,0.0,1,1,2,2,0.0
2022-11-20,2022-11-20,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,1,1,2,2,15.06
2022-11-20,2022-12-05,0,0,0,0,0,0,0,0,2,15,0,15.9375,3.6309218870694533,1,0,2,0,0.0
2022-11-26,2022-11-27,0,0,0,0,4,0,0,0,0,1,1,1.0,0.0,1,1,2,2,0.0
2022-11-27,2022-11-27,0,0,0,4,0,0,0,0,0,0,1,0.0,0.0,1,1,2,2,9.42
2022-11-27,2022-12-02,0,0,4,0,0,0,0,0,0,5,1,5.0,0.0,1,0,2,0,0.0
2022-12-02,2023-04-14,0,2,0,0,0,0,0,0,0,133,1,119.89285714285714,100.92866621166311,0,0,0,0,9.7
2022-12-02,2023-07-21,0,1,0,0,0,0,0,0,0,231,1,119.89285714285714,100.92866621166311,0,0,0,2,9.7
2022-12-02,2023-09-24,0,1,0,0,0,0,0,0,0,296,1,119.89285714285714,100.92866621166311,0,1,0,2,9.7
2022-12-05,2022-12-05,0,0,0,0,0,0,0,2,0,0,1,0.0,0.0,0,0,0,0,15.06
2022-12-05,2022-12-07,0,0,0,0,0,0,2,0,0,2,1,2.0,0.0,0,0,0,0,0.0
2022-12-07,2022-12-19,0,0,0,0,0,2,0,0,0,12,1,10.5,1.0606601717798212,0,0,0,0,6698.14
2022-12-19,2022-12-20,0,0,0,0,2,0,0,0,0,1,1,1.0,0.0,0,0,0,0,0.0
2022-12-20,2022-12-20,0,0,0,2,0,0,0,0,0,0,1,0.0,0.0,0,0,0,0,9.42
